Posição no depósito;Corr.pos.dep.;Col.posição depósito;Nível pos.dep.;Subdiv.pos.dep.;Tipo de depósito;Área armazmto.;Tp.posição depósito
001-053-020-001;001;053;020;001;0010;GERL;P160
001-053-030-001;001;053;030;001;0010;GERL;P160
001-053-040-001;001;053;040;001;0010;GERL;P160
001-053-050-001;001;053;050;001;0010;GERL;P160
001-053-060-001;001;053;060;001;0010;GERL;P200
001-055-020-001;001;055;020;001;0010;GERL;P160
001-055-030-001;001;055;030;001;0010;GERL;P160
001-055-040-001;001;055;040;001;0010;GERL;P160
001-055-050-001;001;055;050;001;0010;GERL;P160
001-055-060-001;001;055;060;001;0010;GERL;P200
001-056-010-001;001;056;010;001;0010;GERL;P160
001-056-020-001;001;056;020;001;0010;GERL;P160
001-056-030-001;001;056;030;001;0010;GERL;P160
001-056-040-001;001;056;040;001;0010;GERL;P160
001-056-050-001;001;056;050;001;0010;GERL;P160
001-056-060-001;001;056;060;001;0010;GERL;P200
001-057-020-001;001;057;020;001;0010;GERL;P160
001-057-030-001;001;057;030;001;0010;GERL;P160
001-057-040-001;001;057;040;001;0010;GERL;P160
001-057-050-001;001;057;050;001;0010;GERL;P160
001-057-060-001;001;057;060;001;0010;GERL;P200
001-058-010-001;001;058;010;001;0010;GERL;P160
001-058-020-001;001;058;020;001;0010;GERL;P160
001-058-030-001;001;058;030;001;0010;GERL;P160
001-058-040-001;001;058;040;001;0010;GERL;P160
001-058-050-001;001;058;050;001;0010;GERL;P160
001-058-060-001;001;058;060;001;0010;GERL;P200
001-059-010-001;001;059;010;001;0010;GERL;P160
001-059-020-001;001;059;020;001;0010;GERL;P160
001-059-030-001;001;059;030;001;0010;GERL;P160
001-059-040-001;001;059;040;001;0010;GERL;P160
001-059-050-001;001;059;050;001;0010;GERL;P160
001-059-060-001;001;059;060;001;0010;GERL;P200
001-060-010-001;001;060;010;001;0010;GERL;P160
001-060-020-001;001;060;020;001;0010;GERL;P160
001-060-030-001;001;060;030;001;0010;GERL;P160
001-060-040-001;001;060;040;001;0010;GERL;P160
001-060-050-001;001;060;050;001;0010;GERL;P160
001-060-060-001;001;060;060;001;0010;GERL;P200
001-061-010-001;001;061;010;001;0010;GERL;P160
001-061-020-001;001;061;020;001;0010;GERL;P160
001-061-030-001;001;061;030;001;0010;GERL;P160
001-061-040-001;001;061;040;001;0010;GERL;P160
001-061-050-001;001;061;050;001;0010;GERL;P160
001-061-060-001;001;061;060;001;0010;GERL;P200
001-062-010-001;001;062;010;001;0010;GERL;P160
001-062-020-001;001;062;020;001;0010;GERL;P160
001-062-030-001;001;062;030;001;0010;GERL;P160
001-062-040-001;001;062;040;001;0010;GERL;P160
001-062-050-001;001;062;050;001;0010;GERL;P160
001-062-060-001;001;062;060;001;0010;GERL;P200
001-063-010-001;001;063;010;001;0010;GERL;P160
001-063-020-001;001;063;020;001;0010;GERL;P160
001-063-030-001;001;063;030;001;0010;GERL;P160
001-063-040-001;001;063;040;001;0010;GERL;P160
001-063-050-001;001;063;050;001;0010;GERL;P160
001-063-060-001;001;063;060;001;0010;GERL;P200
001-064-010-001;001;064;010;001;0010;GERL;P160
001-064-020-001;001;064;020;001;0010;GERL;P160
001-064-030-001;001;064;030;001;0010;GERL;P160
001-064-040-001;001;064;040;001;0010;GERL;P160
001-064-050-001;001;064;050;001;0010;GERL;P160
001-064-060-001;001;064;060;001;0010;GERL;P200
001-065-010-001;001;065;010;001;0010;GERL;P160
001-065-020-001;001;065;020;001;0010;GERL;P160
001-065-030-001;001;065;030;001;0010;GERL;P160
001-065-040-001;001;065;040;001;0010;GERL;P160
001-065-050-001;001;065;050;001;0010;GERL;P160
001-065-060-001;001;065;060;001;0010;GERL;P200
001-066-010-001;001;066;010;001;0010;GERL;P160
001-066-020-001;001;066;020;001;0010;GERL;P160
001-066-030-001;001;066;030;001;0010;GERL;P160
001-066-040-001;001;066;040;001;0010;GERL;P160
001-066-050-001;001;066;050;001;0010;GERL;P160
001-066-060-001;001;066;060;001;0010;GERL;P200
001-067-010-001;001;067;010;001;0010;GERL;P160
001-067-020-001;001;067;020;001;0010;GERL;P160
001-067-030-001;001;067;030;001;0010;GERL;P160
001-067-040-001;001;067;040;001;0010;GERL;P160
001-067-050-001;001;067;050;001;0010;GERL;P160
001-067-060-001;001;067;060;001;0010;GERL;P200
001-068-010-001;001;068;010;001;0010;GERL;P160
001-068-020-001;001;068;020;001;0010;GERL;P160
001-068-030-001;001;068;030;001;0010;GERL;P160
001-068-040-001;001;068;040;001;0010;GERL;P160
001-068-050-001;001;068;050;001;0010;GERL;P160
001-068-060-001;001;068;060;001;0010;GERL;P200
001-069-010-001;001;069;010;001;0010;GERL;P160
001-069-020-001;001;069;020;001;0010;GERL;P160
001-069-030-001;001;069;030;001;0010;GERL;P160
001-069-040-001;001;069;040;001;0010;GERL;P160
001-069-050-001;001;069;050;001;0010;GERL;P160
001-069-060-001;001;069;060;001;0010;GERL;P200
001-070-010-001;001;070;010;001;0010;GERL;P160
001-070-020-001;001;070;020;001;0010;GERL;P160
001-070-030-001;001;070;030;001;0010;GERL;P160
001-070-040-001;001;070;040;001;0010;GERL;P160
001-070-050-001;001;070;050;001;0010;GERL;P160
001-070-060-001;001;070;060;001;0010;GERL;P200
001-071-010-001;001;071;010;001;0010;GERL;P160
001-071-020-001;001;071;020;001;0010;GERL;P160
001-071-030-001;001;071;030;001;0010;GERL;P160
001-071-040-001;001;071;040;001;0010;GERL;P160
001-071-050-001;001;071;050;001;0010;GERL;P160
001-071-060-001;001;071;060;001;0010;GERL;P200
001-072-010-001;001;072;010;001;0010;GERL;P160
001-072-020-001;001;072;020;001;0010;GERL;P160
001-072-030-001;001;072;030;001;0010;GERL;P160
001-072-040-001;001;072;040;001;0010;GERL;P160
001-072-050-001;001;072;050;001;0010;GERL;P160
001-072-060-001;001;072;060;001;0010;GERL;P200
001-073-010-001;001;073;010;001;0010;GERL;P160
001-073-020-001;001;073;020;001;0010;GERL;P160
001-073-030-001;001;073;030;001;0010;GERL;P160
001-073-040-001;001;073;040;001;0010;GERL;P160
001-073-050-001;001;073;050;001;0010;GERL;P160
001-073-060-001;001;073;060;001;0010;GERL;P200
001-074-010-001;001;074;010;001;0010;GERL;P160
001-074-020-001;001;074;020;001;0010;GERL;P160
001-074-030-001;001;074;030;001;0010;GERL;P160
001-074-040-001;001;074;040;001;0010;GERL;P160
001-074-050-001;001;074;050;001;0010;GERL;P160
001-074-060-001;001;074;060;001;0010;GERL;P200
001-075-010-001;001;075;010;001;0010;GERL;P160
001-075-020-001;001;075;020;001;0010;GERL;P160
001-075-030-001;001;075;030;001;0010;GERL;P160
001-075-040-001;001;075;040;001;0010;GERL;P160
001-075-050-001;001;075;050;001;0010;GERL;P160
001-075-060-001;001;075;060;001;0010;GERL;P200
001-076-010-001;001;076;010;001;0010;GERL;P160
001-076-020-001;001;076;020;001;0010;GERL;P160
001-076-030-001;001;076;030;001;0010;GERL;P160
001-076-040-001;001;076;040;001;0010;GERL;P160
001-076-050-001;001;076;050;001;0010;GERL;P160
001-076-060-001;001;076;060;001;0010;GERL;P200
001-077-010-001;001;077;010;001;0010;GERL;P160
001-077-020-001;001;077;020;001;0010;GERL;P160
001-077-030-001;001;077;030;001;0010;GERL;P160
001-077-040-001;001;077;040;001;0010;GERL;P160
001-077-050-001;001;077;050;001;0010;GERL;P160
001-077-060-001;001;077;060;001;0010;GERL;P200
001-078-010-001;001;078;010;001;0010;GERL;P160
001-078-020-001;001;078;020;001;0010;GERL;P160
001-078-030-001;001;078;030;001;0010;GERL;P160
001-078-040-001;001;078;040;001;0010;GERL;P160
001-078-050-001;001;078;050;001;0010;GERL;P160
001-078-060-001;001;078;060;001;0010;GERL;P200
001-079-020-001;001;079;020;001;0010;GERL;P160
001-079-030-001;001;079;030;001;0010;GERL;P160
001-079-040-001;001;079;040;001;0010;GERL;P160
001-079-050-001;001;079;050;001;0010;GERL;P160
001-079-060-001;001;079;060;001;0010;GERL;P200
001-080-030-001;001;080;030;001;0010;GERL;P160
001-080-040-001;001;080;040;001;0010;GERL;P160
001-080-050-001;001;080;050;001;0010;GERL;P160
001-080-060-001;001;080;060;001;0010;GERL;P200
001-081-020-001;001;081;020;001;0010;GERL;P160
001-081-030-001;001;081;030;001;0010;GERL;P160
001-081-040-001;001;081;040;001;0010;GERL;P160
001-081-050-001;001;081;050;001;0010;GERL;P160
001-081-060-001;001;081;060;001;0010;GERL;P200
001-082-030-001;001;082;030;001;0010;GERL;P160
001-082-040-001;001;082;040;001;0010;GERL;P160
001-082-050-001;001;082;050;001;0010;GERL;P160
001-082-060-001;001;082;060;001;0010;GERL;P200
001-083-020-001;001;083;020;001;0010;GERL;P160
001-083-030-001;001;083;030;001;0010;GERL;P160
001-083-040-001;001;083;040;001;0010;GERL;P160
001-083-050-001;001;083;050;001;0010;GERL;P160
001-083-060-001;001;083;060;001;0010;GERL;P200
001-084-030-001;001;084;030;001;0010;GERL;P160
001-084-040-001;001;084;040;001;0010;GERL;P160
001-084-050-001;001;084;050;001;0010;GERL;P160
001-084-060-001;001;084;060;001;0010;GERL;P200
001-085-010-001;001;085;010;001;0010;GERL;P160
001-085-020-001;001;085;020;001;0010;GERL;P160
001-085-030-001;001;085;030;001;0010;GERL;P160
001-085-040-001;001;085;040;001;0010;GERL;P160
001-085-050-001;001;085;050;001;0010;GERL;P160
001-085-060-001;001;085;060;001;0010;GERL;P200
001-086-010-001;001;086;010;001;0010;GERL;P160
001-086-020-001;001;086;020;001;0010;GERL;P160
001-086-030-001;001;086;030;001;0010;GERL;P160
001-086-040-001;001;086;040;001;0010;GERL;P160
001-086-050-001;001;086;050;001;0010;GERL;P160
001-086-060-001;001;086;060;001;0010;GERL;P200
001-087-010-001;001;087;010;001;0010;GERL;P160
001-087-020-001;001;087;020;001;0010;GERL;P160
001-087-030-001;001;087;030;001;0010;GERL;P160
001-087-040-001;001;087;040;001;0010;GERL;P160
001-087-050-001;001;087;050;001;0010;GERL;P160
001-087-060-001;001;087;060;001;0010;GERL;P200
001-088-010-001;001;088;010;001;0010;GERL;P160
001-088-020-001;001;088;020;001;0010;GERL;P160
001-088-030-001;001;088;030;001;0010;GERL;P160
001-088-040-001;001;088;040;001;0010;GERL;P160
001-088-050-001;001;088;050;001;0010;GERL;P160
001-088-060-001;001;088;060;001;0010;GERL;P200
001-089-010-001;001;089;010;001;0010;GERL;P160
